active,passive,verb
Somebody registered for something.,Output: Something was registered for by somebody.,register
Something registered in someone's mind.,Output: Something was registered in someone's mind.,register
Somebody totaled something.,The something was totaled by somebody.,"total (i.e., add up to)"
Something totaled somebody's expenses.,The expenses were totaled by something.,"total (i.e., add up to)"
Somebody weighed something.,Output: Something was weighed by somebody.,weigh
Something weighed somebody.,Output: Somebody was weighed by something.,weigh
Somebody costs something.,Output: Something is cost by somebody.,cost
Something costs someone.,Output: Someone is cost by something.,cost
Somebody's last request was to see the sunset one more time.,The last request was for the sunset to be seen one more time by somebody.,last
Something about last night still lingers in my mind.,Output: Something about last night is still lingered in my mind.,last
Somebody took something from the table. ,Something was taken from the table by somebody.,"take (i.e., carry on for a certiain length of time)"
Something took someone by surprise.,Output: Someone was surprised by something.,"take (i.e., carry on for a certiain length of time)"
Somebody carried something heavy.,Output: Something heavy was carried by somebody.,"carry (i.e., hold a certain number of people)"
Something carried someone away.,Output: Someone was carried away by something.,"carry (i.e., hold a certain number of people)"
Somebody fit something into the box.,The box had something fitted into it by somebody.,fit
Something fit someone perfectly.,"The sentence could be passivized as: ""Someone was perfectly fitted by something.""",fit
Somebody fed somebody something.,Output: Something was fed to somebody by somebody.,"feed (i.e., be enough for a certain number of people)"
Something fed someone somewhere.,Output: Someone was fed by something somewhere.,"feed (i.e., be enough for a certain number of people)"
Somebody can hold somewhere for the meeting.,The meeting can be held somewhere by somebody.,"hold (i.e., accomdate a certain number of people)"
Something holds someone accountable for their actions.,Output: Someone is held accountable for their actions by something.,"hold (i.e., accomdate a certain number of people)"
Somebody owned a house somewhere.,The house was owned by somebody.,house
Something happened to someone in the house.,Something was happened to by someone in the house.,house
Somebody took a seat somewhere.,The seat was taken by somebody.,seat
Something unexpected caused someone to leave their seat.,Something unexpected caused by someone to leave their seat.,seat
Somebody served something at the party.,Something was served at the party by somebody.,"serve (i.e., be enough food for)"
Something served someone who was hungry.,Output: Someone who was hungry was served by something.,"serve (i.e., be enough food for)"
Somebody needs somewhere to sleep.,Somewhere needs to be provided for somebody to sleep.,"sleep (i.e., hold enough sleeping space for)"
Something that is comfortable can help someone sleep better.,"Something that is comfortable can help someone sleep better.  
Output: Someone can sleep better when something that is comfortable is used.","sleep (i.e., hold enough sleeping space for)"
Somebody stored something in the garage.,Output: Something was stored in the garage by somebody.,"store (i.e., contain enough room to hold)"
"Somewhere, there is something that can store everything you need.",Something that can store everything you need is located somewhere.,"store (i.e., contain enough room to hold)"
Somebody used something.,Something was used by somebody.,use
Something used someone.,Output: Someone was used by something.,use
Somebody has something important to share.,Something important has to be shared by somebody.,have
Something has happened to someone unexpected.,Something unexpected has been happened to by someone.,have
Somebody lacks something.,Output: Something is lacked by somebody.,lack
Something lacks someone.,Something is lacked by someone.,lack
Somebody resembles something strange.,Output: Something strange is resembled by somebody.,resemble
Something resembles someone from my past.,"The sentence ""Something resembles someone from my past"" can be passivized as: ""Someone from my past is resembled by something.""",resemble
Somebody looks like someone famous.,The famous person looks like somebody.,look like
Something looks like somewhere I've been before.,"The sentence can be passivized as follows:

Output: Somewhere I've been before looks like something.",look like
Somebody is somewhere in the garden.,Output: Somewhere in the garden is being inhabited by somebody.,be
Something is in the box.,Output: The box is containing something.,be
Somebody belched loudly in the quiet room.,The quiet room was belched in loudly by somebody.,belch
Something terrible made someone belch unexpectedly.,The belch was unexpectedly made by something terrible.,belch
Somebody bled somewhere.,"Output: Somewhere, someone was bled.",bleed
Something bled someone.,"The sentence ""Something bled someone"" can be passivized as: ""Someone was bled by something.""",bleed
Somebody dribbled something.,Something was dribbled by somebody.,dribble
Something dribbled somewhere.,Output: Somewhere was dribbled by something.,dribble
Somebody heard something drip.,Something was heard to drip by somebody.,drip
Something dripped on someone.,The cheese was dripped on by someone.,drip
Somebody made something foam.,The foam was made by somebody.,foam
Something foamed over someone.,"The sentence ""Something foamed over someone"" can be passivized as: 

""Someone was foamed over by something.""",foam
Somebody gushed about something exciting.,Output: Something exciting was gushed about by somebody.,gush
Something gushed somewhere unexpected.,Output: Something was gushed by something unexpected.,gush
Somebody noticed that something was leaking.,The leaking was noticed by somebody.,leak
Something in the roof leaked on someone’s head.,The roof leaked on someone's head.,leak
Somebody noticed something oozing from the ground. ,Something oozing from the ground was noticed by somebody.,ooze
Something oozed from somewhere in the old house.,Something was oozed from somewhere in the old house.,ooze
Somebody puffed something.,Output: Something was puffed by somebody.,puff
Something puffed somewhere.,Output: Somewhere was puffed by something.,puff
Somebody radiated warmth somewhere in the room.,The warmth was radiated by somebody somewhere in the room.,radiate
Something radiated an energy that drew someone closer.,An energy that drew someone closer was radiated by something.,radiate
Somebody spewed something.,Something was spewed by somebody.,spew
Something spewed somewhere.,Output: Something was spewed somewhere.,spew
Somebody spouted something interesting during the meeting.,Output: Something interesting was spouted by somebody during the meeting.,spout
"Somewhere, something spouted water unexpectedly.",The water was spouted unexpectedly by something somewhere.,spout
Somebody watched something sprout in the garden. ,The something was watched sprouting in the garden by somebody.,sprout
Something sprouted somewhere in the yard.,Something was sprouted somewhere in the yard.,sprout
Somebody spurted something across the table.,Something was spurtted across the table by somebody.,spurt
Something spurted somewhere high in the sky.,Something was spurting somewhere high in the sky.,spurt
Somebody streamed something.,Output: Something was streamed by somebody.,stream
Something streamed somewhere.,Something was streamed somewhere.,stream
Somebody is sweating somewhere.  ,"The sentence ""Somebody is sweating somewhere"" can be passivized as follows:

Output: Somewhere is being sweated by somebody.",sweat
Something made someone sweat.,Output: Someone was made to sweat by something.,sweat
